standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,applicability,summary,official_url,source_download_url,notes
WECC-IRO-002-7,IRO-002-7,Reliability Coordination - Monitoring and Analysis - Regional Variance,WECC,regional_variance,Western Interconnection,WECC regional reliability variance - Interconnection Reliability Operations and Coordination,2020-01-01,WECC regional reliability requirement or variance for the Western Interconnection where approved by the applicable authority,WECC regional variance in the IRO family related to reliability coordination - monitoring and analysis - regional variance for the Western Interconnection.,https://www.wecc.org/wecc-document/18486,https://www.wecc.org/sites/default/files/documents/standards/2025/IRO-002-7%20Reliability%20Coordination%20-%20Monitoring%20and%20Analysis%20-%20RV%20Effective%20January%201%2C%202020.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2025-01-30. WECC document status: Active. WECC categorization policy: Regional Reliability Standard."
WECC-IRO-006-WECC-3,IRO-006-WECC-3,Qualified Path Unscheduled Flow (USF) Relief,WECC,regional_standard,Western Interconnection,WECC regional reliability standard - Interconnection Reliability Operations and Coordination,2024-07-09,WECC regional reliability requirement or variance for the Western Interconnection where approved by the applicable authority,WECC regional reliability standard in the IRO family addressing qualified path unscheduled flow (usf) relief for interconnection reliability operations and coordination requirements.,https://www.wecc.org/wecc-document/6881,https://www.wecc.org/sites/default/files/documents/standards/2024/IRO-006-WECC-3.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Reliability Standard."
WECC-PRC-001-WECC-CRT-3,PRC-001-WECC-CRT-3,Governor Droop,WECC,regional_criterion,Western Interconnection,WECC regional criterion - Protection and Control,2024-07-09,WECC regional criteria or supporting material for the Western Interconnection where applicable,WECC regional criterion in the PRC family addressing governor droop for the Western Interconnection.,https://www.wecc.org/wecc-document/6911,https://www.wecc.org/sites/default/files/documents/standards/2024/PRC-001-WECC-CRT-3%20Governor%20Droop.pdf,Extracted from WECC Standards page section: Approved Regional Criteria. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Criteria.
WECC-PRC-006-3,PRC-006-3,Automatic Underfrequency Load Shedding WECC Regional Variance,WECC,historical_regional_standard,Western Interconnection,WECC regional reliability standard - Historical or superseded,2024-07-09,Historical WECC regional reliability requirement; newer version tracked separately where listed by WECC,Historical WECC regional reliability standard in the PRC family addressing automatic underfrequency load shedding wecc regional variance; a newer WECC-listed version is tracked separately.,https://www.wecc.org/wecc-document/6851,https://www.wecc.org/sites/default/files/documents/standards/2024/PRC-006-3%20WECC%20RV.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2024-07-09. WECC categorization policy: Regional Reliability Standard. Classified as historical because WECC also lists PRC-006-5 with a later effective date."
WECC-PRC-006-5,PRC-006-5,Automatic Underfrequency Load Shedding WECC Regional Variance,WECC,regional_variance,Western Interconnection,WECC regional reliability variance - Protection and Control,2021-07-01,WECC regional reliability requirement or variance for the Western Interconnection where approved by the applicable authority,WECC regional variance in the PRC family related to automatic underfrequency load shedding wecc regional variance for the Western Interconnection.,https://www.wecc.org/wecc-document/6856,https://www.wecc.org/sites/default/files/documents/standards/2024/PRC-006-5%20WECC%20RV%20-%20NERC%20Provided%202-3-2021.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Reliability Standard."
WECC-PRC-006-WECC-3-1,PRC-006-WECC-3.1,Underfrequency Load Shedding,WECC,regional_criterion,Western Interconnection,WECC regional criterion - Protection and Control,2019-06-18,WECC regional criteria or supporting material for the Western Interconnection where applicable,WECC regional criterion in the PRC family addressing underfrequency load shedding for the Western Interconnection.,https://www.wecc.org/wecc-document/6906,https://www.wecc.org/sites/default/files/documents/standards/2024/PRC-006-WECC-3.1%20Underfrequency%20Load%20Shedding%20-%20Effective%20June%2018%2C%202019.pdf,Extracted from WECC Standards page section: Approved Regional Criteria. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Criteria.
WECC-RELIABILITY-STANDARDS-DEVELOPMENT-PROCEDURES,WECC Reliability Standards Development Procedures,Reliability Standards Development Procedures,WECC,procedure,Western Interconnection,WECC standards procedure,2021-09-13,WECC standards procedure or supporting document,WECC procedures for developing regional reliability standards and related standards documents.,https://www.wecc.org/wecc-document/7036,https://www.wecc.org/sites/default/files/documents/standards/2024/WECC%20Reliability%20Standards%20Development%20Procedures%20-%20FERC%20Approved%2009-13-2021.pdf,Extracted from WECC Standards page section: Policies And Procedures. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Report or Other.
WECC-TABLE-REVISION-PROCESS,WECC Table Revision Process,Table Revision Process,WECC,procedure,Western Interconnection,WECC standards procedure,2025-01-01,WECC standards procedure or supporting document,"WECC procedure for revising standards-related tables, effective January 1 2025.",https://www.wecc.org/wecc-document/16941,https://www.wecc.org/sites/default/files/documents/standards/2024/Table%20Revision%20Process%20Effective%2001-01-2025.pdf,Extracted from WECC Standards page section: Policies And Procedures. WECC source listed modified date 2024-11-22. WECC document status: Approved/Final. WECC categorization policy: Report or Other.
WECC-TABLE-REVISION-PROCESS-ATTACHMENT-A,WECC Table Revision Process - Attachment A,Major WECC Transfer Paths in the BES,WECC,standards_support_document,Western Interconnection,WECC regional standards support,2024-12-11,WECC standards procedure or supporting document,WECC support document for the table revision process and Attachment A major transfer paths in the Bulk Electric System.,https://www.wecc.org/wecc-document/15131,https://www.wecc.org/sites/default/files/documents/standards/2024/Table%20Revision%20Process%20Effective%2001-01-2025.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2024-12-11. WECC document status: Approved/Final. WECC categorization policy: Report or Other."
WECC-TPL-001-WECC-CRT-4,TPL-001-WECC-CRT-4,Transmission System Planning Performance,WECC,regional_criterion,Western Interconnection,WECC regional criterion - Transmission Planning,2024-07-09,WECC regional criteria or supporting material for the Western Interconnection where applicable,WECC regional criterion in the TPL family addressing transmission system planning performance for the Western Interconnection.,https://www.wecc.org/wecc-document/6901,https://www.wecc.org/sites/default/files/documents/standards/2024/TPL-001-WECC-CRT-4.pdf,Extracted from WECC Standards page section: Approved Regional Criteria. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Criteria.
WECC-VAR-001-5,VAR-001-5,Voltage and Reactive Control with Regional Variance,WECC,regional_variance,Western Interconnection,WECC regional reliability variance - Voltage and Reactive,2024-07-09,WECC regional reliability requirement or variance for the Western Interconnection where approved by the applicable authority,WECC regional variance in the VAR family related to voltage and reactive control with regional variance for the Western Interconnection.,https://www.wecc.org/wecc-document/6896,https://www.wecc.org/sites/default/files/documents/standards/2024/VAR-001-5.%20Final%20Approved%20from%20NERC.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Reliability Standard."
WECC-VAR-501-WECC-4,VAR-501-WECC-4,Power System Stabilizer,WECC,regional_standard,Western Interconnection,WECC regional reliability standard - Voltage and Reactive,2024-07-09,WECC regional reliability requirement or variance for the Western Interconnection where approved by the applicable authority,WECC regional reliability standard in the VAR family addressing power system stabilizer for voltage and reactive requirements.,https://www.wecc.org/wecc-document/6861,https://www.wecc.org/sites/default/files/documents/standards/2024/WECC-0148%20VAR-501-WECC-4%20-%20FERC%20Approved%2001-30-2024.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Reliability Standard."
